name,platform,r-date,score,user score,developer,genre,players,critics,users
Mordheim: City of the Damned,PlayStation4,2016-10-18,72,6.4,RogueFactor,Strategy,2 ,9,17
Mordheim: City of the Damned,PlayStation4,2016-10-18,72,6.4,RogueFactor,Turn-Based,2 ,9,17
Mordheim: City of the Damned,PlayStation4,2016-10-18,72,6.4,RogueFactor,General,2 ,9,17
Mordheim: City of the Damned,PlayStation4,2016-10-18,72,6.4,RogueFactor,Tactics,2 ,9,17
Total War: WARHAMMER - Call of the Beastmen,PC,2016-07-28,72,4.5,CreativeAssembly,Strategy,No info,10,20
Total War: WARHAMMER - Call of the Beastmen,PC,2016-07-28,72,4.5,CreativeAssembly,Turn-Based,No info,10,20
Total War: WARHAMMER - Call of the Beastmen,PC,2016-07-28,72,4.5,CreativeAssembly,General,No info,10,20
Demetrios - The BIG Cynical Adventure,PC,2016-05-31,72,7.7,COWCAT,Adventure,No Online Multiplayer,14,15
Demetrios - The BIG Cynical Adventure,PC,2016-05-31,72,7.7,COWCAT,Point-and-Click,No Online Multiplayer,14,15
Assassin's Creed Rogue,Xbox360,2014-11-11,72,7.4,Ubisoft,Action Adventure,No Online Multiplayer,32,382
Assassin's Creed Rogue,Xbox360,2014-11-11,72,7.4,Ubisoft,Historic,No Online Multiplayer,32,382
Assassin's Creed Rogue,Xbox360,2014-11-11,72,7.4,Ubisoft,Open-World,No Online Multiplayer,32,382
PixelJunk Monsters: Ultimate,PC,2013-08-26,72,7.3,DoubleEleven,Strategy,No info,8,25
PixelJunk Monsters: Ultimate,PC,2013-08-26,72,7.3,DoubleEleven,Real-Time,No info,8,25
PixelJunk Monsters: Ultimate,PC,2013-08-26,72,7.3,DoubleEleven,Fantasy,No info,8,25
PixelJunk Monsters: Ultimate,PC,2013-08-26,72,7.3,DoubleEleven,Fantasy,No info,8,25
PixelJunk Monsters: Ultimate,PC,2013-08-26,72,7.3,DoubleEleven,Defense,No info,8,25
Command & Conquer: Red Alert 3 - Commander's Challenge,Xbox360,2009-09-16,72,6.8,EALA,Strategy,No info,15,13
Command & Conquer: Red Alert 3 - Commander's Challenge,Xbox360,2009-09-16,72,6.8,EALA,Real-Time,No info,15,13
Command & Conquer: Red Alert 3 - Commander's Challenge,Xbox360,2009-09-16,72,6.8,EALA,Sci-Fi,No info,15,13
Command & Conquer: Red Alert 3 - Commander's Challenge,Xbox360,2009-09-16,72,6.8,EALA,Sci-Fi,No info,15,13
Command & Conquer: Red Alert 3 - Commander's Challenge,Xbox360,2009-09-16,72,6.8,EALA,General,No info,15,13
Legend of Kay,PlayStation2,2005-09-21,72,7.5,NeonStudios,Action Adventure,1 Player,30,22
Legend of Kay,PlayStation2,2005-09-21,72,7.5,NeonStudios,Fantasy,1 Player,30,22
All-Star Baseball 2005,PlayStation2,2004-04-08,72,8.6,Acclaim,Sports,1-4 ,13,21
All-Star Baseball 2005,PlayStation2,2004-04-08,72,8.6,Acclaim,Traditional,1-4 ,13,21
All-Star Baseball 2005,PlayStation2,2004-04-08,72,8.6,Acclaim,Baseball,1-4 ,13,21
All-Star Baseball 2005,PlayStation2,2004-04-08,72,8.6,Acclaim,Sim,1-4 ,13,21
X2: The Threat,PC,2003-12-03,72,7.2,Egosoft,Simulation,No Online Multiplayer,27,45
X2: The Threat,PC,2003-12-03,72,7.2,Egosoft,Sci-Fi,No Online Multiplayer,27,45
X2: The Threat,PC,2003-12-03,72,7.2,Egosoft,Space,No Online Multiplayer,27,45
X2: The Threat,PC,2003-12-03,72,7.2,Egosoft,Small Spaceship,No Online Multiplayer,27,45
X2: The Threat,PC,2003-12-03,72,7.2,Egosoft,Small Spaceship,No Online Multiplayer,27,45
X2: The Threat,PC,2003-12-03,72,7.2,Egosoft,Combat,No Online Multiplayer,27,45
Turok: Evolution,GameBoyAdvance,2002-08-26,72,8.1,RFXInteractive,Action,1-2 ,8,9
Turok: Evolution,GameBoyAdvance,2002-08-26,72,8.1,RFXInteractive,Platformer,1-2 ,8,9
Turok: Evolution,GameBoyAdvance,2002-08-26,72,8.1,RFXInteractive,2D,1-2 ,8,9
Frogger 2: Swampy's Revenge,PC,2000-10-01,72,8.3,"HasbroInteractive,BlitzGames",Action,1-4 ,11,13
Frogger 2: Swampy's Revenge,PC,2000-10-01,72,8.3,"HasbroInteractive,BlitzGames",General,1-4 ,11,13
Frogger 2: Swampy's Revenge,PC,2000-10-01,72,8.3,"HasbroInteractive,BlitzGames",General,1-4 ,11,13
Frogger 2: Swampy's Revenge,PC,2000-10-01,72,8.3,"HasbroInteractive,BlitzGames",Platformer,1-4 ,11,13
Frogger 2: Swampy's Revenge,PC,2000-10-01,72,8.3,"HasbroInteractive,BlitzGames",3D,1-4 ,11,13
Tiger Woods PGA Tour 07,Wii,2007-03-13,71,6.9,EARedwoodShores,Sports,No Online Multiplayer,41,44
Tiger Woods PGA Tour 07,Wii,2007-03-13,71,6.9,EARedwoodShores,Traditional,No Online Multiplayer,41,44
Tiger Woods PGA Tour 07,Wii,2007-03-13,71,6.9,EARedwoodShores,Individual,No Online Multiplayer,41,44
Tiger Woods PGA Tour 07,Wii,2007-03-13,71,6.9,EARedwoodShores,Golf,No Online Multiplayer,41,44
Tiger Woods PGA Tour 07,Wii,2007-03-13,71,6.9,EARedwoodShores,Sim,No Online Multiplayer,41,44
Tiger Woods PGA Tour 07,Wii,2007-03-13,71,6.9,EARedwoodShores,Sim,No Online Multiplayer,41,44
Nintendogs + Cats: French Bulldog & New Friends,3DS,2011-03-27,71,7.1,Nintendo,Simulation,No info,40,21
Nintendogs + Cats: French Bulldog & New Friends,3DS,2011-03-27,71,7.1,Nintendo,Miscellaneous,No info,40,21
Nintendogs + Cats: French Bulldog & New Friends,3DS,2011-03-27,71,7.1,Nintendo,Virtual Life,No info,40,21
Nintendogs + Cats: French Bulldog & New Friends,3DS,2011-03-27,71,7.1,Nintendo,Virtual Life,No info,40,21
Nintendogs + Cats: French Bulldog & New Friends,3DS,2011-03-27,71,7.1,Nintendo,Virtual,No info,40,21
Nintendogs + Cats: French Bulldog & New Friends,3DS,2011-03-27,71,7.1,Nintendo,Pet,No info,40,21
Shiren the Wanderer,Wii,2010-02-09,71,8.0,ChunSoft,Role-Playing,No Online Multiplayer,21,6
Shiren the Wanderer,Wii,2010-02-09,71,8.0,ChunSoft,General,No Online Multiplayer,21,6
Shiren the Wanderer,Wii,2010-02-09,71,8.0,ChunSoft,General,No Online Multiplayer,21,6
Shiren the Wanderer,Wii,2010-02-09,71,8.0,ChunSoft,Roguelike,No Online Multiplayer,21,6
Dead Rising Triple Pack,PlayStation4,2016-09-13,71,6.7,Capcom,Action Adventure,No info,20,6
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,XboxOne,2020-06-23,71,8.8,PurpleLampStudios,Action,2 ,17,313
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,XboxOne,2020-06-23,71,8.8,PurpleLampStudios,Platformer,2 ,17,313
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,XboxOne,2020-06-23,71,8.8,PurpleLampStudios,3D,2 ,17,313
Capcom Beat 'Em Up Bundle,PlayStation4,2018-09-18,71,5.5,Capcom,Miscellaneous,Up to 4 ,16,12
Capcom Beat 'Em Up Bundle,PlayStation4,2018-09-18,71,5.5,Capcom,Compilation,Up to 4 ,16,12
Battlefield Hardline,XboxOne,2015-03-17,71,5.2,VisceralGames,Modern,Up to more than 64 ,27,325
Battlefield Hardline,XboxOne,2015-03-17,71,5.2,VisceralGames,Action,Up to more than 64 ,27,325
Battlefield Hardline,XboxOne,2015-03-17,71,5.2,VisceralGames,Shooter,Up to more than 64 ,27,325
Battlefield Hardline,XboxOne,2015-03-17,71,5.2,VisceralGames,First-Person,Up to more than 64 ,27,325
Battlefield Hardline,XboxOne,2015-03-17,71,5.2,VisceralGames,Tactical,Up to more than 64 ,27,325
Battlefield Hardline,XboxOne,2015-03-17,71,5.2,VisceralGames,Arcade,Up to more than 64 ,27,325
Red Faction: Armageddon,Xbox360,2011-06-07,71,7.1,VolitionInc.,Action,4  Online,74,86
Red Faction: Armageddon,Xbox360,2011-06-07,71,7.1,VolitionInc.,Shooter,4  Online,74,86
Red Faction: Armageddon,Xbox360,2011-06-07,71,7.1,VolitionInc.,Shooter,4  Online,74,86
Red Faction: Armageddon,Xbox360,2011-06-07,71,7.1,VolitionInc.,Third-Person,4  Online,74,86
Red Faction: Armageddon,Xbox360,2011-06-07,71,7.1,VolitionInc.,Sci-Fi,4  Online,74,86
Red Faction: Armageddon,Xbox360,2011-06-07,71,7.1,VolitionInc.,Sci-Fi,4  Online,74,86
Red Faction: Armageddon,Xbox360,2011-06-07,71,7.1,VolitionInc.,Arcade,4  Online,74,86
Just Dance 2018,Switch,2017-10-24,71,5.9,UbisoftParis,Action,Up to 8 ,15,35
Just Dance 2018,Switch,2017-10-24,71,5.9,UbisoftParis,Rhythm,Up to 8 ,15,35
Just Dance 2018,Switch,2017-10-24,71,5.9,UbisoftParis,Dancing,Up to 8 ,15,35
The Crew,PC,2014-12-01,71,6.3,"UbisoftReflections,IvoryTower",GT / Street,No info,12,546
The Crew,PC,2014-12-01,71,6.3,"UbisoftReflections,IvoryTower",Driving,No info,12,546
The Crew,PC,2014-12-01,71,6.3,"UbisoftReflections,IvoryTower",Racing,No info,12,546
The Crew,PC,2014-12-01,71,6.3,"UbisoftReflections,IvoryTower",Simulation,No info,12,546
The Crew,PC,2014-12-01,71,6.3,"UbisoftReflections,IvoryTower",GT / Street,No info,12,546
The Crew,PC,2014-12-01,71,6.3,"UbisoftReflections,IvoryTower",Automobile,No info,12,546
Puzzle Quest: Challenge of the Warlords,Wii,2007-11-30,71,6.2,ViciousCycle,Miscellaneous,1-2 ,17,5
Puzzle Quest: Challenge of the Warlords,Wii,2007-11-30,71,6.2,ViciousCycle,Puzzle,1-2 ,17,5
Puzzle Quest: Challenge of the Warlords,Wii,2007-11-30,71,6.2,ViciousCycle,Puzzle,1-2 ,17,5
Puzzle Quest: Challenge of the Warlords,Wii,2007-11-30,71,6.2,ViciousCycle,Puzzle,1-2 ,17,5
Puzzle Quest: Challenge of the Warlords,Wii,2007-11-30,71,6.2,ViciousCycle,Matching,1-2 ,17,5
Puzzle Quest: Challenge of the Warlords,Wii,2007-11-30,71,6.2,ViciousCycle,Matching,1-2 ,17,5
Rayman Origins,3DS,2012-11-06,71,6.3,UBlartMontpellier,Action,No info,8,74
Rayman Origins,3DS,2012-11-06,71,6.3,UBlartMontpellier,Action Adventure,No info,8,74
